Date NDVI
2020-06-08 0.3065
2020-06-13 0.3836
2020-06-18 0.4001
2020-06-23 0.5463
2020-06-28 0.5852
2020-07-08 0.7380
2020-07-13 0.7669
2020-07-18 0.7336
2020-07-23 0.7540
2020-08-02 0.7579
2020-08-07 0.3206
2020-08-17 0.7360
2020-08-22 0.6466
2020-08-27 0.2399
2020-09-06 0.1443
2020-09-16 0.1842
2020-09-21 0.1381
2020-09-26 0.0943
2020-10-01 0.1629
2020-10-06 0.1429
2020-10-11 0.1284
2020-10-16 0.1795
2020-10-31 0.1312
2020-11-05 0.1342
2020-11-10 0.0761
2020-11-15 0.1379
2020-11-20 0.1042
2020-11-30 0.1198
2020-12-05 0.0957
2020-12-10 0.1071
2020-12-20 0.1161
2020-12-25 0.1118
2021-01-04 0.0746
2021-01-14 0.0535
2021-01-19 0.1232
2021-01-29 0.0018
2021-02-03 0.0756
2021-02-13 0.0313
2021-02-18 0.0663
2021-02-23 0.1227
2021-02-28 0.1241
2021-03-05 0.1059
2021-03-10 0.1095
2021-03-20 0.1329
2021-03-30 0.1582
2021-04-04 0.1414
2021-04-09 0.0964
2021-04-14 0.1588
2021-04-19 0.1366
2021-04-24 0.1894
2021-04-29 0.1703
2021-05-04 0.1735
2021-05-19 0.1246
2021-06-03 0.3033
2021-06-13 0.5629
2021-06-18 0.5072
2021-06-23 0.5827
2021-06-28 0.2542
2021-07-03 0.7069
2021-07-08 0.7281
2021-07-13 0.6652
2021-07-18 0.5397
2021-07-28 0.7276
2021-08-02 0.4834
2021-08-07 0.6299
2021-08-12 0.6591
2021-08-17 0.5872
2021-08-22 0.6536
2021-08-27 0.1855
2021-09-01 0.2172
2021-09-06 0.1874
2021-09-11 0.2190
2021-09-16 0.2277
2021-09-21 0.1800
2021-09-26 0.4258
2021-10-01 0.4731
2021-10-06 0.0610
2021-10-11 0.5989
2021-10-16 0.6268
2021-10-21 0.6210
2021-10-31 0.0859
2021-11-05 0.5215
2021-11-15 0.2072
2021-11-20 0.1447
2021-11-25 0.1996
2021-12-05 0.1104
2021-12-10 0.0379
2021-12-15 0.0390
2021-12-20 0.1219
2021-12-25 0.1124
2021-12-30 0.1047
2022-01-04 0.0977
2022-01-09 0.1345
2022-01-24 0.1211
2022-01-29 0.0777
2022-02-03 0.0308
2022-02-08 0.0744
2022-02-13 0.0790
2022-02-18 0.0755
2022-02-23 0.0885
2022-02-28 0.0775
2022-03-05 0.0675
2022-03-10 0.0154
2022-03-15 0.0710
2022-03-20 0.0785
2022-03-25 0.0123
2022-03-30 0.0175
2022-04-04 0.0876
2022-04-09 0.0883
2022-04-14 0.1017
2022-04-19 0.0089
2022-04-24 0.0918
2022-05-04 0.0011
2022-05-09 0.0911
2022-05-14 0.1212
2022-05-19 0.1405
2022-05-24 -0.0020
2022-05-29 0.0463
2022-06-03 0.2485
2022-06-08 0.3118
2022-06-13 0.4728
2022-06-18 0.4813
2022-06-23 0.0050
2022-06-28 0.5651
2022-07-03 0.0843
2022-07-08 0.3356
2022-07-13 0.2473
2022-07-18 0.5423
2022-07-23 0.4974
2022-07-28 0.0733
